iter	Passed	Remaining
0	1	108
1	2	98
2	2	94
3	3	86
4	4	86
5	5	83
6	6	80
7	6	77
8	7	75
9	8	72
10	8	70
11	9	68
12	10	67
13	10	65
14	11	64
15	11	62
16	12	61
17	13	59
18	14	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	28	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
