iter	Passed	Remaining
0	168	168299
1	170	84874
2	171	56886
3	172	42840
4	172	34399
5	173	28752
6	174	24710
7	174	21677
8	175	19329
9	177	17523
10	177	15980
11	178	14690
12	179	13595
13	179	12656
14	180	11845
15	181	11132
16	181	10503
17	182	9965
18	183	9479
19	184	9029
20	184	8620
21	185	8247
22	186	7907
23	186	7595
24	187	7309
25	188	7048
26	189	6816
27	190	6602
28	190	6389
29	191	6191
30	192	6005
31	192	5832
32	193	5673
33	194	5522
34	194	5375
35	195	5238
36	196	5122
37	197	5003
38	198	4885
39	198	4773
40	199	4667
41	200	4565
42	200	4470
43	201	4378
44	202	4291
45	203	4216
46	204	4143
47	205	4066
48	205	3995
49	206	3923
50	207	3854
51	207	3787
52	208	3723
53	208	3661
54	209	3602
55	210	3552
56	211	3500
57	212	3447
58	212	3395
59	213	3344
60	214	3295
61	214	3248
62	215	3203
63	216	3159
64	217	3122
65	218	3086
66	218	3046
67	219	3007
68	220	2969
69	220	2932
70	221	2896
71	222	2861
72	222	2827
73	223	2794
74	224	2767
75	225	2741
76	226	2711
77	226	2680
78	227	2651
79	228	2623
80	228	2597
81	229	2571
82	230	2541
83	230	2515
84	231	2497
85	233	2476
86	234	2455
87	235	2438
88	236	2424
89	237	2405
90	239	2389
91	240	2375
92	241	2358
93	243	2345
94	244	2328
95	247	2333
96	249	2318
97	250	2302
98	251	2285
99	252	2270
100	253	2258
101	254	2243
102	255	2228
103	257	2214
104	258	2200
105	259	2190
106	261	2184
107	263	2173
108	264	2160
109	265	2148
110	266	2135
111	268	2126
112	269	2116
113	270	2105
114	272	2094
115	273	2083
116	274	2070
117	275	2062
118	276	2050
119	278	2040
120	279	2028
121	279	2014
122	280	2000
123	281	1988
124	283	1981
125	285	1977
126	286	1966
127	287	1957
128	288	1946
129	289	1937
130	290	1928
131	291	1918
132	292	1907
133	293	1896
134	294	1889
135	297	1889
136	300	1889
137	301	1880
138	302	1871
139	303	1861
140	304	1853
141	305	1845
142	306	1838
143	308	1831
144	309	1823
145	310	1817
146	312	1811
147	313	1802
148	314	1793
149	314	1783
150	315	1774
151	316	1765
152	317	1760
153	320	1758
154	321	1751
155	322	1744
156	323	1736
157	324	1731
158	326	1725
159	327	1717
160	327	1708
161	328	1700
162	329	1691
163	330	1683
164	330	1674
165	332	1670
166	334	1667
167	335	1661
168	336	1655
169	337	1648
170	339	1644
171	341	1642
172	342	1635
173	342	1628
174	343	1620
175	344	1614
176	347	1615
177	348	1610
178	350	1606
179	351	1600
180	352	1593
181	353	1589
182	354	1584
183	356	1582
184	358	1577
185	359	1571
186	359	1564
187	361	1559
188	362	1555
189	363	1550
190	364	1543
191	365	1537
192	366	1532
193	368	1530
194	370	1528
195	371	1523
196	372	1518
197	373	1512
198	375	1511
199	376	1507
200	377	1501
201	378	1495
202	379	1489
203	380	1483
204	383	1486
205	385	1484
206	386	1479
207	387	1474
208	388	1469
209	389	1465
210	390	1461
211	391	1456
212	393	1453
213	394	1448
214	395	1442
215	397	1441
216	399	1441
217	400	1435
218	401	1431
219	402	1427
220	405	1427
221	406	1426
222	408	1422
223	409	1418
224	411	1417
225	412	1412
226	413	1408
227	415	1406
228	418	1407
229	420	1407
230	421	1404
231	422	1399
232	424	1397
233	425	1394
234	428	1395
235	429	1391
236	430	1386
237	432	1383
238	433	1380
239	434	1375
240	435	1371
241	437	1369
242	438	1364
243	439	1361
244	440	1357
245	441	1353
246	442	1349
247	443	1344
248	444	1341
249	447	1342
250	448	1339
251	449	1335
252	451	1332
253	452	1328
254	454	1327
255	455	1323
256	457	1321
257	458	1319
258	460	1316
259	461	1313
260	462	1309
261	463	1304
262	464	1302
263	466	1299
264	467	1296
265	468	1293
266	469	1289
267	470	1285
268	471	1281
269	472	1277
270	473	1274
271	475	1273
272	477	1270
273	478	1267
274	479	1263
275	480	1259
276	481	1255
277	482	1252
278	483	1249
279	485	1248
280	486	1245
281	487	1241
282	488	1237
283	489	1234
284	490	1230
285	491	1228
286	494	1227
287	495	1224
288	497	1223
289	498	1221
290	499	1217
291	500	1214
292	502	1211
293	503	1209
294	505	1207
295	506	1204
296	507	1201
297	508	1197
298	509	1194
299	512	1196
300	514	1194
301	515	1191
302	516	1188
303	517	1185
304	518	1182
305	519	1178
306	521	1177
307	522	1174
308	523	1171
309	524	1168
310	526	1165
311	526	1162
312	528	1159
313	529	1155
314	530	1153
315	531	1150
316	533	1149
317	534	1146
318	535	1142
319	536	1139
320	537	1136
321	540	1137
322	541	1135
323	542	1132
324	543	1129
325	544	1126
326	546	1124
327	547	1121
328	548	1119
329	550	1117
330	551	1114
331	552	1111
332	553	1109
333	555	1106
334	555	1103
335	556	1100
336	557	1096
337	558	1093
338	560	1092
339	563	1093
340	564	1090
341	565	1087
342	566	1084
343	568	1084
344	570	1082
345	571	1080
346	572	1077
347	573	1073
348	573	1070
349	575	1067
350	576	1065
351	578	1064
352	579	1061
353	580	1059
354	582	1057
355	583	1055
356	584	1053
357	585	1050
358	586	1047
359	588	1045
360	593	1049
361	594	1047
362	595	1044
363	596	1041
364	597	1039
365	600	1039
366	601	1037
367	602	1035
368	603	1032
369	605	1030
370	606	1028
371	607	1026
372	608	1023
373	610	1021
374	610	1018
375	612	1016
376	613	1014
377	615	1012
378	616	1009
379	617	1006
380	617	1003
381	619	1002
382	620	1000
383	622	997
384	622	995
385	623	992
386	624	989
387	625	986
388	626	984
389	627	981
390	628	979
391	629	976
392	630	973
393	631	970
394	631	967
395	632	965
396	634	963
397	635	961
398	636	959
399	637	956
400	638	953
401	639	951
402	640	949
403	641	946
404	642	944
405	643	941
406	644	938
407	644	935
408	645	932
409	646	930
410	648	928
411	649	926
412	650	924
413	651	921
414	652	919
415	652	916
416	653	914
417	655	912
418	656	910
419	657	907
420	658	905
421	659	902
422	659	900
423	660	897
424	661	895
425	663	893
426	664	891
427	665	888
428	665	886
429	666	883
430	667	881
431	668	878
432	669	876
433	670	874
434	671	871
435	672	869
436	673	867
437	673	864
438	675	862
439	675	860
440	677	858
441	678	856
442	679	853
443	680	851
444	680	849
445	681	846
446	682	844
447	684	843
448	685	840
449	685	838
450	686	836
451	687	833
452	688	830
453	688	828
454	689	825
455	689	823
456	690	820
457	691	818
458	692	816
459	693	813
460	693	811
461	694	808
462	695	806
463	695	803
464	696	801
465	696	798
466	697	796
467	698	794
468	699	792
469	700	789
470	701	787
471	701	785
472	702	782
473	703	780
474	703	777
475	704	775
476	705	773
477	706	771
478	707	769
479	707	766
480	708	764
481	709	762
482	710	760
483	711	758
484	712	756
485	713	754
486	714	752
487	715	750
488	715	747
489	716	745
490	717	743
491	717	741
492	718	739
493	720	737
494	721	735
495	722	733
496	722	731
497	723	729
498	724	727
499	725	725
500	726	723
501	727	721
502	728	719
503	729	717
504	729	715
505	730	713
506	731	710
507	731	708
508	732	706
509	733	704
510	734	702
511	735	700
512	736	698
513	736	696
514	737	694
515	738	692
516	739	690
517	740	688
518	741	686
519	742	685
520	743	683
521	744	681
522	744	679
523	745	677
524	746	675
525	746	672
526	747	670
527	748	669
528	749	667
529	750	665
530	751	663
531	752	661
532	752	659
533	753	657
534	753	655
535	754	653
536	755	651
537	756	649
538	757	647
539	757	645
540	758	643
541	759	641
542	759	639
543	761	638
544	762	636
545	762	634
546	763	632
547	764	630
548	765	628
549	765	626
550	766	624
551	767	622
552	767	620
553	768	618
554	769	616
555	769	614
556	770	613
557	771	611
558	772	609
559	773	607
560	773	605
561	774	603
562	775	601
563	776	599
564	776	598
565	778	596
566	779	594
567	779	593
568	780	591
569	782	589
570	782	588
571	783	586
572	784	584
573	786	583
574	787	581
575	787	580
576	788	578
577	789	576
578	790	574
579	791	572
580	792	571
581	793	569
582	794	568
583	795	566
584	796	565
585	797	563
586	798	561
587	798	559
588	799	557
589	800	556
590	801	554
591	801	552
592	802	550
593	802	548
594	803	546
595	804	545
596	804	543
597	805	541
598	806	539
599	807	538
600	809	537
601	809	535
602	810	533
603	811	531
604	811	529
605	812	528
606	812	526
607	813	524
608	814	522
609	815	521
610	815	519
611	816	517
612	817	515
613	817	514
614	818	512
615	819	510
616	819	508
617	820	507
618	821	505
619	822	503
620	823	502
621	823	500
622	824	498
623	825	497
624	825	495
625	826	493
626	826	491
627	827	490
628	828	488
629	829	486
630	829	485
631	830	483
632	831	481
633	831	480
634	832	478
635	833	476
636	833	475
637	834	473
638	834	471
639	835	469
640	836	468
641	837	466
642	838	465
643	838	463
644	839	462
645	840	460
646	840	458
647	841	457
648	841	455
649	842	453
650	843	452
651	844	450
652	845	449
653	845	447
654	846	445
655	846	444
656	847	442
657	848	440
658	848	439
659	849	437
660	850	435
661	851	434
662	852	433
663	852	431
664	853	429
665	854	428
666	854	426
667	855	425
668	856	423
669	857	422
670	858	420
671	858	419
672	859	417
673	860	416
674	860	414
675	861	412
676	862	411
677	862	409
678	863	408
679	864	406
680	864	405
681	865	403
682	866	402
683	867	400
684	868	399
685	868	397
686	869	396
687	870	394
688	871	393
689	872	391
690	873	390
691	873	388
692	874	387
693	875	385
694	875	384
695	876	382
696	877	381
697	877	379
698	878	378
699	879	376
700	880	375
701	880	373
702	881	372
703	882	370
704	882	369
705	883	367
706	884	366
707	884	364
708	885	363
709	885	361
710	886	360
711	887	359
712	888	357
713	889	356
714	889	354
715	890	353
716	891	351
717	892	350
718	892	348
719	893	347
720	894	346
721	895	344
722	895	343
723	896	341
724	897	340
725	897	338
726	898	337
727	898	335
728	899	334
729	900	332
730	900	331
731	902	330
732	902	328
733	903	327
734	904	326
735	905	324
736	906	323
737	906	321
738	907	320
739	908	319
740	908	317
741	909	316
742	910	314
743	911	313
744	911	312
745	912	310
746	912	309
747	913	307
748	914	306
749	914	304
750	915	303
751	916	302
752	917	300
753	918	299
754	918	298
755	919	296
756	919	295
757	920	293
758	921	292
759	921	291
760	922	289
761	923	288
762	924	287
763	924	285
764	925	284
765	926	282
766	926	281
767	927	280
768	928	278
769	928	277
770	929	276
771	929	274
772	930	273
773	931	272
774	932	270
775	933	269
776	933	268
777	934	266
778	935	265
779	935	263
780	936	262
781	936	261
782	937	259
783	938	258
784	939	257
785	940	255
786	940	254
787	941	253
788	941	251
789	942	250
790	943	249
791	943	247
792	944	246
793	945	245
794	946	244
795	947	242
796	947	241
797	948	240
798	949	238
799	949	237
800	950	236
801	951	234
802	951	233
803	952	232
804	953	231
805	954	229
806	955	228
807	955	227
808	956	225
809	957	224
810	957	223
811	958	221
812	959	220
813	960	219
814	960	218
815	961	216
816	962	215
817	963	214
818	963	213
819	964	211
820	965	210
821	966	209
822	967	207
823	968	206
824	968	205
825	969	204
826	970	202
827	970	201
828	971	200
829	972	199
830	972	197
831	973	196
832	974	195
833	975	194
834	976	192
835	976	191
836	977	190
837	978	189
838	978	187
839	979	186
840	980	185
841	980	184
842	981	182
843	982	181
844	983	180
845	983	179
846	984	177
847	985	176
848	985	175
849	986	174
850	987	172
851	988	171
852	989	170
853	990	169
854	991	168
855	992	166
856	993	165
857	994	164
858	995	163
859	996	162
860	997	161
861	999	160
862	1001	158
863	1002	157
864	1003	156
865	1004	155
866	1005	154
867	1007	153
868	1008	152
869	1009	150
870	1010	149
871	1011	148
872	1012	147
873	1013	146
874	1014	144
875	1016	143
876	1017	142
877	1027	142
878	1028	141
879	1029	140
880	1031	139
881	1032	138
882	1034	137
883	1035	135
884	1037	134
885	1038	133
886	1039	132
887	1040	131
888	1043	130
889	1045	129
890	1046	127
891	1047	126
892	1049	125
893	1050	124
894	1052	123
895	1053	122
896	1054	121
897	1056	119
898	1057	118
899	1058	117
900	1059	116
901	1060	115
902	1061	113
903	1062	112
904	1063	111
905	1064	110
906	1065	109
907	1067	108
908	1068	107
909	1070	105
910	1071	104
911	1073	103
912	1074	102
913	1075	101
914	1077	100
915	1078	98
916	1080	97
917	1081	96
918	1082	95
919	1083	94
920	1085	93
921	1087	91
922	1088	90
923	1089	89
924	1090	88
925	1091	87
926	1092	86
927	1093	84
928	1094	83
929	1096	82
930	1097	81
931	1098	80
932	1099	78
933	1100	77
934	1101	76
935	1102	75
936	1103	74
937	1104	73
938	1105	71
939	1107	70
940	1108	69
941	1109	68
942	1110	67
943	1111	65
944	1112	64
945	1114	63
946	1116	62
947	1117	61
948	1118	60
949	1119	58
950	1120	57
951	1122	56
952	1123	55
953	1126	54
954	1129	53
955	1131	52
956	1132	50
957	1133	49
958	1134	48
959	1136	47
960	1138	46
961	1139	44
962	1139	43
963	1140	42
964	1141	41
965	1143	40
966	1144	39
967	1145	37
968	1145	36
969	1147	35
970	1148	34
971	1149	33
972	1150	31
973	1151	30
974	1152	29
975	1153	28
976	1154	27
977	1156	26
978	1157	24
979	1159	23
980	1160	22
981	1161	21
982	1162	20
983	1163	18
984	1165	17
985	1166	16
986	1167	15
987	1168	14
988	1169	13
989	1170	11
990	1171	10
991	1172	9
992	1173	8
993	1174	7
994	1175	5
995	1175	4
996	1176	3
997	1178	2
998	1180	1
999	1181	0
